---------------------------------------------|---------|---------|---------|-------------------|
File                                         |% Branch | % Funcs | % Lines | Uncovered Line #s |
---------------------------------------------|---------|---------|---------|-------------------|
 update_payment_method_usecase.dart          |  100.00 |  100.00 |   16.67 |...7,36,39,43,44,45|
 update_payment_status_usecase.dart          |  100.00 |  100.00 |   16.67 |...7,36,39,43,44,45|
lib/features/booking/presentation/pages/     |         |         |         |                   |
 booking_confirmation_page.dart              |  100.00 |  100.00 |   93.62 |        120,121,122|
 booking_details_page.dart                   |  100.00 |  100.00 |   61.70 |...,203,206,354,400|
 booking_history_detail_page.dart            |  100.00 |  100.00 |   92.71 |...,171,182,183,398|
 booking_history_page.dart                   |  100.00 |  100.00 |   78.95 |...,148,183,185,186|
 booking_page.dart                           |  100.00 |  100.00 |   61.94 |...,353,355,356,357|
lib/features/booking/presentation/state/     |         |         |         |                   |
 booking_state.dart                          |  100.00 |  100.00 |   88.89 |                 39|
lib/features/booking/presentation/view_model/|         |         |         |                   |
 booking_viewmodel.dart                      |  100.00 |  100.00 |   96.00 |186,224,259,316,317|
lib/features/booking/presentation/widgets/   |         |         |         |                   |
 booking_card.dart                           |  100.00 |  100.00 |   93.62 |...92,93,95,109,142|
 booking_empty_state.dart                    |  100.00 |  100.00 |   85.71 |              28,39|
 booking_error_state.dart                    |  100.00 |  100.00 |  100.00 |                   |
 booking_form.dart                           |    0.00 |    0.00 |    0.00 |    no unit testing|
 booking_mini_date_col.dart                  |  100.00 |  100.00 |  100.00 |                   |
 header.dart                                 |    0.00 |    0.00 |    0.00 |    no unit testing|
 hotel_info.dart                             |    0.00 |    0.00 |    0.00 |    no unit testing|
 review_button.dart                          |  100.00 |  100.00 |   80.00 |  19,21,22,23,24,25|
lib/features/favourites/data/datasources/    |         |         |         |                   |
 favourite_datasource.dart                   |    0.00 |    0.00 |    0.00 |    no unit testing|
b/features/favourites/data/datasources/local/|         |         |         |                   |
 favourite_local_datasource.dart             |  100.00 |  100.00 |    0.00 |...9,42,48,51,57,60|
/features/favourites/data/datasources/remote/|         |         |         |                   |
 favourite_remote_datasource.dart            |  100.00 |  100.00 |    0.00 |...96,98,99,100,101|
lib/features/favourites/data/models/         |         |         |         |                   |
 favourite_api_model.dart                    |  100.00 |  100.00 |    0.00 |...4,55,56,57,61,62|
 favourite_api_model.g.dart                  |  100.00 |  100.00 |    0.00 |...3,24,25,26,27,28|
 favourite_hive_model.dart                   |  100.00 |  100.00 |    0.00 |...4,65,66,67,71,72|
 favourite_hive_model.g.dart                 |  100.00 |  100.00 |    0.00 |...4,45,47,50,51,52|
lib/features/favourites/data/repositories/   |         |         |         |                   |
 favourite_repository.dart                   |  100.00 |  100.00 |    0.00 |...,203,207,211,213|
lib/features/favourites/domain/entities/     |         |         |         |                   |
 favourite_entity.dart                       |  100.00 |  100.00 |   12.50 |...0,21,22,23,24,25|
lib/features/favourites/domain/repositories/ |         |         |         |                   |
 favourite_repository.dart                   |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/favourites/domain/usecases/     |         |         |         |                   |
 add_to_favourite_usecase.dart               |  100.00 |  100.00 |   66.67 |        16,17,21,22|
 get_my_favourite_usecase.dart               |  100.00 |  100.00 |   22.22 |...6,20,21,28,31,35|
 is_hotel_favourited_usecase.dart            |    0.00 |    0.00 |    0.00 |    no unit testing|
 remove_fav_by_hotel_id_usecase.dart         |    0.00 |    0.00 |    0.00 |    no unit testing|
 remove_favourite_usecase.dart               |  100.00 |  100.00 |   55.56 |        14,15,19,20|
lib/features/favourites/presentation/pages/  |         |         |         |                   |
 favourite_page.dart                         |  100.00 |  100.00 |   81.25 |...,178,180,181,185|
lib/features/favourites/presentation/state/  |         |         |         |                   |
 favourite_state.dart                        |  100.00 |  100.00 |   92.31 |                 35|
/features/favourites/presentation/view_model/|         |         |         |                   |
 favourite_viewmodel.dart                    |  100.00 |  100.00 |  100.00 |                   |
lib/features/favourites/presentation/widgets/|         |         |         |                   |
 favourite_empty_state.dart                  |  100.00 |  100.00 |  100.00 |                   |
 favourite_error_state.dart                  |  100.00 |  100.00 |  100.00 |                   |
 favourite_hotel_card.dart                   |  100.00 |  100.00 |   90.91 |     52,56,61,62,71|
 favourite_stub_card.dart                    |  100.00 |  100.00 |  100.00 |                   |
lib/features/home/presentation/pages/        |         |         |         |                   |
 home_page.dart                              |  100.00 |  100.00 |    0.93 |...,254,266,269,272|
lib/features/home/presentation/widgets/      |         |         |         |                   |
 bottom_navigation_widget.dart               |  100.00 |  100.00 |    0.00 |...6,47,48,49,53,54|
 favourite_button.dart                       |  100.00 |  100.00 |    0.00 |...7,58,59,60,63,64|
 home_app_color.dart                         |    0.00 |    0.00 |    0.00 |    no unit testing|
 home_banner.dart                            |  100.00 |  100.00 |    5.00 |...5,48,50,51,52,53|
 home_filter_sheet.dart                      |  100.00 |  100.00 |    0.83 |...,367,368,369,371|
 home_search_bar.dart                        |  100.00 |  100.00 |    0.00 |...5,67,71,75,76,79|
 hotel_card.dart                             |  100.00 |  100.00 |    0.00 |...,213,214,218,219|
 hotel_grid.dart                             |  100.00 |  100.00 |    0.00 |...0,66,67,68,69,74|
lib/features/hotel/data/                     |         |         |         |                   |
 hotel_datasource.dart                       |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/hotel/data/datasources/local/   |         |         |         |                   |
 hotel_local_datasource.dart                 |  100.00 |  100.00 |    0.00 |...8,51,58,61,67,70|
lib/features/hotel/data/datasources/remote/  |         |         |         |                   |
 hotel_remote_datasource.dart                |  100.00 |  100.00 |    0.00 |...,169,171,173,174|
lib/features/hotel/data/models/              |         |         |         |                   |
 hotel_api_model.dart                        |  100.00 |  100.00 |    0.00 |...,118,119,125,126|
 hotel_api_model.g.dart                      |  100.00 |  100.00 |    0.00 |...4,35,36,37,38,39|
 hotel_hive_model.dart                       |  100.00 |  100.00 |    0.00 |...,114,118,120,121|
 hotel_hive_model.g.dart                     |  100.00 |  100.00 |    0.00 |...5,66,68,71,72,73|
lib/features/hotel/data/repositories/        |         |         |         |                   |
 hotel_repository.dart                       |  100.00 |  100.00 |    0.00 |...,204,205,207,210|
lib/features/hotel/domain/entities/          |         |         |         |                   |
 hotel_entity.dart                           |  100.00 |  100.00 |    7.14 |...7,38,39,40,41,42|
lib/features/hotel/domain/repositories/      |         |         |         |                   |
 hotel_repository.dart                       |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/hotel/domain/usecases/          |         |         |         |                   |
 create_hotel_usecase.dart                   |  100.00 |  100.00 |    7.14 |...4,65,66,67,68,71|
 delete_hotel_usecase.dart                   |  100.00 |  100.00 |   22.22 |...5,20,21,27,30,32|
 get_all_hotel_usecase.dart                  |  100.00 |  100.00 |   16.67 |     12,13,19,22,24|
 get_hotel_by_id_usecase.dart                |  100.00 |  100.00 |   22.22 |...6,21,22,29,32,34|
 update_hotel_usecase.dart                   |  100.00 |  100.00 |   22.22 |...6,21,22,28,31,33|
 upload_image_usecase.dart                   |  100.00 |  100.00 |   22.22 |...3,21,22,29,32,34|
lib/features/hotel/presentation/pages/       |         |         |         |                   |
 add_hotel_page.dart                         |  100.00 |  100.00 |   57.14 |...,480,551,578,579|
 all_hotels_page.dart                        |  100.00 |  100.00 |   71.74 |...,116,118,119,120|
 hotel_details_page.dart                     |  100.00 |  100.00 |   44.27 |...,283,285,286,287|
lib/features/hotel/presentation/state/       |         |         |         |                   |
 hotel_state.dart                            |  100.00 |  100.00 |   93.33 |                 30|
lib/features/hotel/presentation/view_model/  |         |         |         |                   |
 hotel_viewmodel.dart                        |  100.00 |  100.00 |  100.00 |                   |
lib/features/hotel/presentation/widgets/     |         |         |         |                   |
 hotel_amenity_chip.dart                     |  100.00 |  100.00 |  100.00 |                   |
 hotel_card.dart                             |  100.00 |  100.00 |   86.67 |...2,83,86,89,91,93|
 hotel_details_content.dart                  |  100.00 |  100.00 |   70.90 |...,397,398,399,400|
 hotel_info_card.dart                        |  100.00 |  100.00 |  100.00 |                   |
 hotel_map_widget.dart                       |    0.00 |    0.00 |    0.00 |    no unit testing|
 hotel_review_section.dart                   |  100.00 |  100.00 |   21.37 |...,339,340,352,361|
lib/features/onboarding/presentation/pages/  |         |         |         |                   |
 on_boarding_screen.dart                     |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/payment/data/datasources/       |         |         |         |                   |
 payment_datasource.dart                     |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/payment/data/datasources/remote/|         |         |         |                   |
 payment_remote_datasource.dart              |  100.00 |  100.00 |    0.00 |...,103,104,105,106|
lib/features/payment/data/models/            |         |         |         |                   |
 payment_api_model.dart                      |    0.00 |    0.00 |    0.00 |    no unit testing|
 payment_api_model.g.dart                    |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/payment/data/repositories/      |         |         |         |                   |
 payment_repository.dart                     |  100.00 |  100.00 |    0.00 |...1,83,84,87,89,92|
lib/features/payment/domain/entities/        |         |         |         |                   |
